Date,Open,High,Low,Close,Volume
1/21/2020,9.15,9.22,9.1,9.21,49556423
1/22/2020,9.22,9.25,9.15,9.16,39914759
1/23/2020,9.14,9.16,8.93,9.14,75848669
1/24/2020,9.11,9.12,8.96,9,68100949
1/27/2020,8.88,8.96,8.78,8.89,60769335
1/28/2020,8.94,9,8.86,8.97,85163404
1/29/2020,8.85,8.955,8.84,8.86,59070709
1/30/2020,8.81,8.84,8.73,8.84,42827802
1/31/2020,8.78,8.84,8.74,8.82,59813731
2/3/2020,8.85,9.14,8.85,8.98,71432659
2/4/2020,9.08,9.24,9.07,9.18,86196417
2/5/2020,8.41,8.48,8.26,8.31,145792527
2/6/2020,8.37,8.38,8.25,8.25,68823367
2/7/2020,8.21,8.21,8.02,8.11,98256476
2/10/2020,8.15,8.15,8.05,8.06,71834905
2/11/2020,8.1,8.15,8.08,8.1,80164532
2/12/2020,8.14,8.33,8.13,8.24,111536751
2/13/2020,8.21,8.36,8.21,8.25,67648837
2/14/2020,8.27,8.27,8.08,8.1,46359668
2/18/2020,8.12,8.1499,8.02,8.06,65207478
2/19/2020,8.06,8.1,8,8,69668178
2/20/2020,8,8.07,7.99,8.03,52318244
2/21/2020,8.02,8.03,7.89,7.89,58326329
2/24/2020,7.7,7.7197,7.55,7.57,110048156
2/25/2020,7.68,7.68,7.22,7.23,108888298
2/26/2020,7.3,7.46,7.21,7.21,92524842
2/27/2020,7.13,7.28,6.92,6.97,118642394
2/28/2020,6.84,6.96,6.67,6.96,116546727
3/2/2020,7.11,7.23,6.88,7.2,96766032
3/3/2020,7.29,7.34,6.89,6.97,97457775
3/4/2020,7.09,7.09,6.92,7.08,70588065
3/5/2020,6.96,6.97,6.71,6.74,78070888
3/6/2020,6.6,6.68,6.4,6.49,109932196
3/9/2020,5.97,6.14,5.87,5.9,103901655
3/10/2020,6.26,6.29,5.8,6.26,101873628
3/11/2020,6.06,6.11,5.88,5.9,98639098
3/12/2020,5.38,5.69,5.2,5.35,89453102
3/13/2020,5.87,5.9,5.12,5.63,125375287
3/16/2020,5.04,5.22,5,5.01,110310935
3/17/2020,5.08,5.14,4.7,5.01,104233465
3/18/2020,4.75,4.84,4.1,4.5,125954745
3/19/2020,4.33,4.58,4.1,4.47,126603765
3/20/2020,4.54,4.75,4.25,4.33,129378586
3/23/2020,4.27,4.52,3.96,4.01,134925017
3/24/2020,4.47,4.99,4.26,4.95,146192141
3/25/2020,5.77,5.87,5.12,5.39,198999447
3/26/2020,5.36,5.65,5.16,5.25,138297998
3/27/2020,5.07,5.3,4.91,5.19,106324033
3/30/2020,5.11,5.1197,4.93,5.03,97879666
3/31/2020,5.03,5.19,4.75,4.83,231800752
4/1/2020,4.63,4.77,4.36,4.4,119174506
4/2/2020,4.39,4.57,4.25,4.36,90891690
4/3/2020,4.4,4.42,4.17,4.24,85659866
4/6/2020,4.54,4.67,4.41,4.53,102205319
4/7/2020,4.85,5.03,4.63,4.71,115284478
4/8/2020,4.86,5.09,4.8,5.03,117066553
4/9/2020,5.51,5.75,5.24,5.37,175833664
4/13/2020,5.43,5.43,5.02,5.16,99320002
4/14/2020,5.27,5.44,5.16,5.29,74877032
4/15/2020,5.06,5.14,4.95,5.03,74727746
4/16/2020,5.06,5.0697,4.89,4.94,58951213
4/17/2020,5.17,5.28,5.03,5.12,91989318
4/20/2020,5.01,5.09,4.91,4.98,71079442
4/21/2020,4.89,4.92,4.72,4.77,82400209
4/22/2020,4.87,4.89,4.75,4.77,62398608
4/23/2020,4.8,4.98,4.77,4.89,61959760
4/24/2020,4.93,4.96,4.8,4.87,54352479
4/27/2020,4.91,5.19,4.88,5.17,91082846
4/28/2020,5.49,5.54,5.215,5.38,106222815
4/29/2020,5.33,5.5,5.2104,5.26,126393015
4/30/2020,5.16,5.24,5.06,5.09,93437941
5/1/2020,5.02,5.05,4.9,4.92,82660057
5/4/2020,4.88,4.97,4.77,4.86,84214747
5/5/2020,4.99,5.09,4.94,4.97,96301286
5/6/2020,5.05,5.09,4.82,4.87,89390419
5/7/2020,4.9,4.98,4.85,4.87,67222935
5/8/2020,4.96,5.25,4.95,5.24,101333782
5/11/2020,5.18,5.19,5.05,5.12,75734000
5/12/2020,5.15,5.22,4.97,4.98,70965193
5/13/2020,5,5.01,4.66,4.72,100192290
5/14/2020,4.645,4.92,4.52,4.89,108061111
5/15/2020,4.8,4.94,4.75,4.9,80544650
5/18/2020,5.12,5.33,5.12,5.31,136241424
5/19/2020,5.27,5.45,5.15,5.3,94836282
5/20/2020,5.38,5.54,5.37,5.49,87685371
5/21/2020,5.45,5.69,5.44,5.63,87098219
5/22/2020,5.68,5.73,5.5,5.65,76656465
5/26/2020,5.92,5.99,5.82,5.84,86046301
5/27/2020,6.01,6.09,5.84,6.03,110413883
5/28/2020,6.05,6.07,5.81,5.85,77126187
5/29/2020,5.75,5.8,5.57,5.71,93039226
6/1/2020,5.73,5.88,5.67,5.87,61938822
6/2/2020,5.96,6,5.83,5.9,80046000
6/3/2020,5.99,6.27,5.92,6.19,98876582
6/4/2020,6.2,6.58,6.12,6.57,115798591
6/5/2020,7.24,7.5,7.02,7.34,208648166
6/8/2020,7.53,7.74,7.37,7.53,113169300
6/9/2020,7.22,7.44,7.05,7.24,115749606
6/10/2020,7.33,7.34,6.77,6.81,147327062
6/11/2020,6.07,6.46,6.04,6.13,116184727
6/12/2020,6.56,6.63,6.3,6.46,88778026
6/15/2020,6.18,6.58,6.11,6.5,104742595
6/16/2020,6.87,6.87,6.44,6.55,109535182
6/17/2020,6.56,6.56,6.31,6.33,67831355
6/18/2020,6.26,6.45,6.19,6.33,61301776
6/19/2020,6.64,6.69,6.23,6.23,126127803
6/22/2020,6.27,6.28,6.13,6.28,71724254
6/23/2020,6.33,6.38,6.14,6.15,86672823
6/24/2020,6.06,6.1225,5.86,5.95,75536274
6/25/2020,5.86,6.05,5.8,6.03,73612736
